Садовничий Виктор Антонович, президент Российского Союза ректоров, ректор Московского государственного университета имени М.В. Ломоносова,
Александров Анатолий Александрович, вице-президент РСР, президент Московского государственного технического университета имени Н.Э. Баумана
Глыбочко Петр Витальевич, вице-президент РСР, ректор Первого московского государственного медицинского университета имени И.М. Сеченова,
Демидов Алексей Вячеславович, вице-президент РСР, ректор Санкт-Петербургского государственного университета промышленных технологий и дизайна,
Ендовицкий Дмитрий Александрович, вице-президент РСР, ректор Воронежского государственного университета,
Иванченко Сергей Николаевич, вице-президент РСР, ректор Тихоокеанского государственного университета,
Кропачев Николай Михайлович, вице-президент РСР, ректор Санкт-Петербургского государственного университета,
Кудрявцев Николай Николаевич, вице-президент РСР, президент Московского физико-технического института (государственный университет),
Лобанов Владимир Григорьевич, вице-президент РСР, президент Кубанского государственного технологического университета,
Пустовой Николай Васильевич, вице-президент РСР, президент Новосибирского государственного технического университета,
Стронгин Роман Григорьевич, вице-президент РСР, президент Нижегородского государственного университета имени Н.И. Лобачевского
Шестаков Александр Леонидович, вице-президент РСР, ректор Южно-Уральского государственного университета
Агабекян Раиса Левоновна, ректор Академии маркетинга и социально-информационных технологий,
Агафонова Наталья Николаевна, ректор Западно-Уральского института экономики и права,
Агибалов Александр Владимирович, ректор Воронежского государственного аграрного университета,
Агиней Руслан Викторович, ректор Ухтинского государственного технического университета,
Албакова Фатима Юсуповна, ректор Ингушского государственного университета,
Алейник Станислав Николаевич, ректор Белгородского государственного аграрного университета имени В.Я.Горина,
Александров Андрей Юрьевич, ректор Чувашского государственного университета имени И.Н. Ульянова,
Альбеков Адам Умарович, президент Ростовского государственного экономического университета (РИНХ),
Альтудов Юрий Камбулатович, ректор Кабардино-Балкарского государственного университета имени Х.М.Бербекова,
Амельчаков Игорь Филиппович, начальник Белгородского юридического института МВД РФ имени И.Д.Путилина,
Андреев Алексей Петрович, ректор Пермского государственного аграрно-технологического университета имени академика Д.Н. Прянишникова,
Анисимов Никита Юрьевич, ректор Национального исследовательского университета "Высшая школа экономики" ,
Антохина Юлия Анатольевна, ректор Санкт-Петербургский государственный университет аэрокосмического приборостроения,
Апажев Аслан Каральбиевич, ректор Кабардино-Балкарского государственного аграрного университета имени В.М. Кокова,
Асваров Нариман Асварович, ректор Дагестанского государственного педагогического университета,
Астапов Михаил Борисович, ректор Кубанского государственного университета,
Асфандиярова Амина Ибрагимовна, ректор Уфимского государственного института искусств им. Загира Исмагилова,
Ахметов Султан Меджидович, ректор Кубанского государственного университета физической культуры, спорта и туризма,
Баженова Наталья Геннадьевна, ректор Приамурского государственного университета имени Шалом Алейхема,
Байханов Исмаил Баутдинович, ректор Чеченского государственного педагогического института,
Балашов Алексей Игоревич, ректор Санкт-Петербургского государственного института психологии и социальной работы,
Барышев Михаил Геннадьевич, ректор Кубанского государственного технического университета,
Батаев Анатолий Андреевич, ректор Новосибирского государственного технического университета,
Баулин Олег Александрович, ректор Уфимского государственного нефтяного технического университета,
Бахмудкадиевич Нухкади Джалалович, ректор Дагестанского гуманитарного института,
Башкина Ольга Александровна, ректор Астраханской государственной медицинской академии,
Бачевский Сергей Викторович, ректор Санкт-Петербургского государственного университета телекоммуникаций имени проф. М.А. Бонч-Бруевича,
Безбородов Александр Борисович, ректор Российского государственного гуманитарного университета,
Белоус Николай Максимович, ректор Брянской государственной сельскохозяйственной академии,
Беспалов Владимир Александрович, ректор Национального исследовательского университета "МИЭТ",
Беспалов Дмитрий Николаевич, ректор Северо-Кавказского федерального университета,
Богатырев Владимир Дмитриевич, ректор Самарского национального исследовательского университета имени академика С.П. Королева,
Богатырев Дмитрий Кириллович, ректор Русской христианской гуманитарной академии,
Боев Максим Юрьевич, ректор Хабаровского государственного университета экономики и права,
Бойко Елена Григорьевна, ректор Государственного аграрного университета Северного Зауралья,
Бордовский Геннадий Алексеевич, президент Российского государственного университета имени А.И. Герцена,
Боровиков Юрий Сергеевич, ректор Новгородского государственного университета имени Ярослава Мудрого,
Боровская Марина Александровна, президент Южного федерального университета,
Брачун Татьяна Анатольевна, ректор Северо-Восточного государственного университета,
Бучаев Ахмед Гамидович, ректор Дагестанского государственного университета народного хозяйства,
Бучек Альбина Александровна, ректор Белгородского института развития образования,
Быков Дмитрий Евгеньевич, ректор Самарского государственного технического университета,
Васильев Владимир Николаевич, ректор Национального исследовательского университета ИТМО,
Верескун Владимир Дмитриевич, ректор Ростовского государственного университета путей сообщения,
Воронин Анатолий Викторович, ректор Петрозаводского государственного университета,
Воротынцев Илья Владимирович, ректор Российского химико-технологического университета имени Д.И. Менделеева,
Выборнова Любовь Алексеевна, ректор Поволжского государственного университета сервиса,
Габитов Илдар Исмагилович, ректор Башкирского государственного аграрного университета,
Гайдамашко Игорь Вячеславович, ректор Сочинского государственного университета,
Галажинский Эдуард Владимирович, ректор Национального исследовательского Томского государственного университета,
Галицын Сергей Викторович, ректор Дальневосточной государственной академии физической культуры,
Ганиева Алана Виленовна, ректор Северо-Осетинского государственного педагогического института,
Ганченкова Мария Герасимовна, ректор Сахалинского государственного университета,
Гаранин Максим Алексеевич, ректор Самарского государственного университета путей сообщения,
Глаголев Сергей Николаевич, ректор Белгородского государственного технологического университета имени В.Г. Шухова,
Глушко Дмитрий Евгеньевич, ректор Национального исследовательского Мордовского государственного университета им. Н.П. Огарёва,
Горбунов Александр Павлович, ректор Пятигорского государственного университета,
Гордин Михаил Валерьевич, ректор Московского государственного технического университета имени Н.Э. Баумана,
Горлов Сергей Иванович, ректор Нижневартовского государственного университета,
Груздев Михаил Вадимович, ректор Ярославского государственного педагогического университета им. К.Д. Ушинского,
Гуляков Александр Дмитриевич, ректор Пензенского государственного университета,
Дамдинов Алдар Валерьевич, ректор Бурятского государственного университета имени Доржи Банзарова,
Джамбулатов Зайдин Магомедович, ректор Дагестанского государственного аграрного университета,
Дмитриев Сергей Михайлович, ректор Нижегородского государственного технического университета им. Р.Е. Алексеева,
Дробышева-Разумовская Людмила Ивановна, ректор Пермской государственной академии искусства и культуры,
епископ Петергофский Силуан (Никитин Сергей Сергеевич), ректор Санкт-Петербургской Духовной Академии Русской Православной Церкви,
Ефремова Вероника Васильевна, ректор Тюменского государственного индустриального университета,
Железнов Лев Михайлович, ректор Кировского государственного медицинского университета,
Жигалев Борис Андреевич, президент Нижегородского государственного лингвистического университета имени Н.А.Добролюбова,
Жмеренецкий Константин Вячеславович, ректор Дальневосточного государственного медицинского университета,
Заболотских Татьяна Владимировна, ректор Амурской государственной медицинской академии,
Загайнова Елена Вадимовна, ректор Национального исследовательского Нижегородского государственного университета им. Н.И. Лобачевского,
Зайко Татьяна Ивановна, ректор Сибирского государственного университета водного транспорта,
Замятин Сергей Владимирович, ректор Омского государственного университета имени Ф.М.Достоевского,
Засыпкин Владислав Павлович, ректор Сургутского государственного педагогического университета,
Зекрин Фанави Хайбрахманович, ректор Чайковского государственного института физической культуры,
Зенгин Сергей Семенович, ректор Краснодарского государственного института культуры,
Зернов Владимир Алексеевич, ректор Российского нового университета,
Зыбина Ольга Станиславовна, ректор Санкт-Петербургской юридической академии,
Ижмулкина Екатерина Александровна, ректор Кемеровского государственного сельскохозяйственного института,
Ильина Наталья Анатольевна, ректор Псковского государственного университета
Иванов Дмитрий Олегович, ректор Санкт-Петербургского государственного педиатрического медицинского университета,
Иванов Сергей Анатольевич, ректор Забайкальского государственного университета,
Ивойлов Валерий Михайлович, президент Кемеровского государственного медицинского университета,
Иоголевич Владимир Александрович, начальник Тюменского института повышения квалификации сотрудников МВД РФ,
Исайчев Виталий Александрович, ректор Ульяновского государственного аграрного университета имени П.А. Столыпина,
Калинин Роман Евгеньевич, ректор Рязанского государственного медицинского университета имени академика И.П. Павлова,
Калинина Алла Эдуардовна, ректор Волгоградского государственного университета,
Кислицына Анна Николаевна, ректор Санкт-Петербургская государственная художественно-промышленная академия имени А.Л. Штиглица,
Клемешев Андрей Павлович, президент Балтийского федерального университета имени Иммануила Канта,
Климов Александр Алексеевич, ректор Российского университета транспорта,
Кокшаров Виктор Анатольевич, ректор Уральского федерального университета имени первого Президента России Б.Н. Ельцина,
Колсанов Александр Владимирович, ректор Самарского государственного медицинского университета,
Кондрашкина Елена Александровна, ректор Самарского государственного экономического университета,
Корняков Михаил Викторович, ректор Иркутского национального исследовательского технического университета,
Коробец Борис Николаевич, ректор Дальневосточного федерального университета,
Коротков Александр Михайлович, ректор Волгоградского государственного социально-педагогического университета,
Короткова Елена Игоревна, ректор Кировского государственного медицинского университета,
Косенок Сергей Михайлович, ректор Сургутского государственного университета,
Костишко Борис Михайлович, ректор Ульяновского государственного университета,
Котельников Геннадий Петрович, президент Самарского государственного медицинского университета,
Кочкаров Руслан Махарович, ректор Северо-Кавказской государственной гуманитарно-технологической академии,
Кравченко Олег Александрович, ректор Тульского государственного университета,
Краева Ирина Аркадьевна, ректор Московского государственного лингвистического университета (Мориса Тореза),
Красильников Дмитрий Георгиевич, ректор Пермского государственного национального исследовательского университета,
Криштал Михаил Михайлович, ректор Тольяттинского государственного университета,
Кротт Иван Иванович, ректор Омского государственного педагогического университета,
Кудряшова Елена Владимировна, ректор Северного (Арктического) федерального университета,
Куижева Саида Казбековна, ректор Майкопского государственного технологического университета,
Куликов Евгений Сергеевич, ректор Сибирского государственного медицинского университета Министерства здравоохранения Российской Федерации,
Курганский Сергей Иванович, ректор Белгородского государственного института искусств и культуры,
Кучин Роман Викторович, ректор Югорского государственного университета,
Левин Борис Алексеевич, президент Российского университета транспорта,
Левков Сергей Андреевич, ректор Камчатского государственного технического университета,
Ливзан Мария Анатольевна, ректор Омского государственного медицинского университета,
Лобанов Владимир Григорьевич, президент Кубанского государственного технологического университета,
Лубков Алексей Владимирович, ректор Московского педагогического государственного университета,
Лужанин Владимир Геннадиевич, ректор Пермской государственной фармацевтической академии,
Лукьянов Сергей Анатольевич, ректор Российского национального исследовательского медицинского университета имени Н.И. Пирогова,
Лунев Александр Павлович, президент Астраханского государственного университета,
Лысов Николай Александрович, ректор Самарского медицинского университета "Реавиз",
Маевский Дмитрий Павлович, ректор Омского государственного технического университета,
Майер Георгий Владимирович, резидент Национального исследовательского Томского государственного университета,
Макаркин Николай Петрович, президент Мордовского государственного университета имени Н.П. Огарёва,
Максимцев Игорь Анатольевич, ректор Санкт Петербургского государственного экономического университета,
Мальцев Сергей Борисович, ректор Санкт-Петербургского медико-социального института,
Малышев Владимир Сергеевич, ректор Всероссийского государственного университета кинематографии имени С.А. Герасимова,
Мамий Дауд Казбекович, ректор Адыгейского государственного университета,
Маркелов Константин Алексеевич, ректор Астраханского государственного университета,
Машков Сергей Владимирович, ректор Самарского государственного аграрного университета,
Мау Владимир Александрович, ректор Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,
Мельничук Ирина Альбертовна, ректор Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова,
Мерзлякова Галина Витальевна, ректор Удмуртского государственного университета,
Меркулов Евгений Сергеевич, ректор Камчатского государственного университета имени Витуса Беринга,
Месхи Бесарион Чохоевич, ректор Донского государственного технического университета,
Мирошников Сергей Александрович, ректор Оренбургского государственного университета,
Митрополит Тобольский и Тюменский Дмитрий, ректор Тобольской Православной Духовной Семинарии,
Михальчевский Юрий Юрьевич, ректор Санкт-Петербургского государственного университета гражданской авиации,
Мишин Дмитрий Викторович, ректор Поволжского государственного университета телекоммуникаций и информатики,
Морозкин Николай Данилович, ректор Башкирского государственного университета,
Морозов Виталий Юрьевич, ректор Санкт-Петербургского государственного аграрного университета,
Мостыканов Александр Валентинович, ректор Астраханской государственной консерватории,
Мочалов Олег Дмитриевич, ректор Самарского государственного социально-педагогического университета,
Навроцкий Александр Валентинович, ректор Волгоградского государственного технического университета,
Назаров Максим Николаевич, проректор Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,
Наркевич Игорь Анатольевич, ректор Санкт-Петербургского государственного химико-фармацевтического университета,
Наумова Ольга Сергеевна, ректор Самарского государственного института культуры,
Неваленный Александр Николаевич, ректор Астраханского государственного технического университета,
Нечаев Владимир Дмитриевич, ректор Севастопольского государственного университета,
Николаев Анатолий Николаевич, ректор Северо-Восточного федерального университета имени М.К. Аммосова,
Новиков Сергей Владимирович, ректор Уфимского государственного авиационного технического университета,
Новиков Юрий Васильевич, президент Ярославского государственного медицинского университета,
Обвинцев Алексей Анатольевич, ректор Смоленского государственного университета спорта,
Овчаренко Сергей Михайлович, ректор Омского государственного университета путей сообщения,
Огоев Алан Урузмагович, ректор Северо-Осетинского государственного университета имени К.Л. Хетагурова,
Омельченко Игорь Николаевич, ректор Тюменского государственного института культуры,
Павлов Алексей Владимирович, ректор Ярославского государственного медицинского университета,
Павлов Валентин Николаевич, ректор Башкирского государственного медицинского университета Министерства здравоохранения Российской Федерации,
Пахомова Наталья Владимировна, ректор Российского государственного института сценических искусств,
Певцовова Елена Александровна, ректор Московского государственного областного университета,
Перова Елена Юрьевна, ректор Восточно-Сибирского государственного института культуры,
Петров Василий Юрьевич, президент Пермского национального исследовательского политехнического университета,
Петров Иван Михайлович, ректор Тюменского государственного медицинского университета,
Петухов Игорь Валерьевич, ректор Поволжского государственного технологического университета,
Пивовар Ефим Иосифович, президент Российского государственного гуманитарного университета,
Погодаев Анатолий Кирьянович, первый проректор Липецкого государственного технического университета, председатель Совета ректоров Липецкой области,
Погосян Михаил Асланович, ректор Московского авиационного института,
Полухин Олег Николаевич, ректор Белгородского государственного национального исследовательского университета,
Полянсков Юрий Вячеславович, президент Ульяновского государственного университета,
Попонникова Татьяна Владимировна, ректор Кемеровского государственного медицинского университета,
Прокофьев Станислав Евгеньевич, ректор Финансового университета при Правительстве Российской Федерации,
Просеков Александр Юрьевич, ректор Кемеровского государственного университета,
Проскурин Дмитрий Констан, ректор Воронежского государственного технического университета,
Пугач Валентин Николаевич, ректор Вятского государственного университета,
Рабаданов Муртазали Хуллатаевич, ректор Дагестанского государственного университета,
Рогалев Николай Дмитриевич, ректор Национального исследовательского университета "МЭИ",
Романчук Иван Сергеевич, ректор Тюменского государственного университета,
Рудской Андрей Иванович, ректор Санкт-Петербургского политехнического университета Петра Великого,
Рулевский Виктор Михайлович, ректор Томского государственного университета систем управления и радиоэлектроники,
Румянцев Максим Валерьевич, ректор Сибирского федерального университета,
Русецкая Маргарита Николаевна, ректор Государственного института русского языка имени А.С. Пушкина,
Савченко Михаил Петрович, ректор Ростовской государственной консерватории имени С.В. Рахманинова,
Сагитов Салават Талгатович, ректор Башкирского государственного педагогического университета им. М.Акмуллы,
Саидов Заурбек Асланбекович, ректор Чеченского государственного университета имени А.А. Кадырова,
Сайганов Сергей Анатольевич, ректор Северо-Западный государственный медицинский университет имени И.И. Мечникова,
Сараев Павел Викторович, ректор Липецкого государственного технического университета,
Саралидзе Анзор Михайлович, ректор Владимирского государственного университета,
Седнев Дмитрий Андреевич, ректор Национального исследовательского Томского политехнического университета,
Серебренный Владимир Валерьевич, ректор Московского государственного технологического университета "СТАНКИН",
Сизов Игорь Геннадиевич, ректор Восточно-Сибирского государственного университета технологий и управления,
Симоненко Александр Викторович, начальник Краснодарского университета МВД России,
Сколубович Юрий Леонидович, ректор Новосибирского государственного архитектурно-строительного университета,
Скоринов Сергей Нестерович, ректор Хабаровского государственного института искусств и культуры,
Скрипкин Валентин Сергеевич, ректор Ставропольского государственного аграрного университета
Смагина Мария Викторовна, ректор Ставропольского государственного педагогического института,
Смешко Олег Григорьевич, ректор Санкт-Петербургского университета технологий управления и экономики,
Смагина Мария Викторовна, ректор Ставропольского государственного педагогического института,
Сойфер Виктор Александрович, президент Самарского национального исследовательского университета имени академика С.П.Королева,
Соловьев Андрей Михайлович, ректор Невинномысского государственного гуманитарно-технического института,
Стромов Владимир Юрьевич, ректор Тамбовского государственного университета имени Г.Р. Державина,
Тарасов Сергей Валентинович, ректор Российского государственного университета имени А.И. Герцена,
Ташкинов Анатолий Александрович, ректор Пермского национального исследовательского политехнического университета,
Таюрский Дмитрий Альбертович, ректор Казанского (Приволжского) федерального университета,
Твардовский Андрей Викторович, ректор Тверского государственного технического университета,
Терентьева Татьяна Валерьевна, ректор Владивостокского государственного университета экономики и сервиса,
Тихончук Павел Викторович, ректор Дальневосточного государственного аграрного университета,
Торкунов Анатолий Васильевич, ректор Московского государственного института международных отношений (университет) Министерства иностранных дел Российской Федерации,
Трубилин Александр Иванович, ректор Кубанского государственного аграрного университета имени И.Т. Трубилина,
Трухачев Владимир Иванович, ректор Российского государственного аграрного университета имени К.А. Тимирязева,
Туричин Глеб Андреевич, ректор Санкт-Петербургского государственного морского технического университета,
Тускаев Таймураз Русланович, ректор Горского государственного аграрного университета,
Тускаев Таймураз Русланович, ректор Горского государственного аграрного университета,
Узденов Таусолтан Аубекирович, ректор Карачаево-Черкесского государственного университета имени У.Д.Алиева,
Ушамирская Галина Федоровна, ректор Волжского института экономики, педагогики и права,
Фалалеев Андрей Павлович, ректор Крымского федерального университета имени В.И. Вернадского,
Федина Нина Владимировна, ректор Липецкого государственного педагогического университета имени П.П.Семенова-Тян-Шанского,
Федорук Михаил Петрович, ректор Новосибирского национального исследовательского государственного университета,
Федоров Александр Александрович, ректор Балтийского федерального университета имени Иммануила Канта,
Филиппов Владимир Михайлович, президент Российского университета дружбы народов,
Филоненко Сергей Иванович, ректор Воронежского государственного педагогического университета,
